"name","store","total_profit","total_in_app_revenue","total_marketing_expense","rights_purchase_expense","lifespan_months","app_store_rating","play_store_rating","weighted_avg_rating","app_store_review_count","play_store_review_count","app_store_price","play_store_price","weighted_avg_price","app_store_content_rating","play_store_content_rating","app_store_primary_genre","play_store_category","play_store_genres"
"aa","both",431000.0,570000,114000,25000.0,114,4.5,4.2,4.25,158845,886418,0.0,0.0,0.0,"4+","Everyone","Games","FAMILY","Strategy"
"Adobe Illustrator Draw","both",455000.0,600000,120000,25000.0,120,4.5,4.4,4.4,3215,65766,0.0,0.0,0.0,"4+","Everyone","Productivity","PHOTOGRAPHY","Photography"
"ADP Mobile Solutions","both",431000.0,570000,114000,25000.0,114,4.0,4.3,4.27,8324,85185,0.0,0.0,0.0,"4+","Everyone","Business","BUSINESS","Business"
"Afterlight","both",431000.0,570000,114000,25000.0,114,4.5,4.3,4.34,14057,50893,0.99,0.0,0.21,"4+","Everyone","Photo & Video","PHOTOGRAPHY","Photography"
"Agar.io","both",431000.0,570000,114000,25000.0,114,4.5,4.2,4.21,176514,3816799,0.0,0.0,0.0,"9+","Everyone","Games","GAME","Action"
"Airbnb","both",455000.0,600000,120000,25000.0,120,4.0,4.4,4.38,22302,359560,0.0,0.0,0.0,"4+","Everyone","Travel","TRAVEL_AND_LOCAL","Travel & Local"
"AirWatch Agent","both",311000.0,420000,84000,25000.0,84,2.5,3.1,3.07,1150,20973,0.0,0.0,0.0,"4+","Everyone","Business","BUSINESS","Business"
"AJ Jump: Animal Jam Kangaroos!","both",455000.0,600000,120000,25000.0,120,4.5,4.4,4.42,834,2975,1.99,1.99,1.99,"4+","Everyone","Games","GAME","Arcade"
"Alizay, pirate girl","both",450100.0,600000,120000,29900.0,120,4.5,4.5,4.5,14,197,2.99,2.99,2.99,"4+","Everyone","Book","FAMILY","Casual;Action & Adventure"
"Allrecipes Dinner Spinner","both",383000.0,510000,102000,25000.0,102,3.5,4.5,3.86,109349,61881,0.0,0.0,0.0,"12+","Everyone","Food & Drink","FOOD_AND_DRINK","Food & Drink"
"Alto's Adventure","both",455000.0,600000,120000,25000.0,120,4.5,4.6,4.6,7824,515657,4.99,0.0,0.07,"9+","Everyone","Games","GAME","Action"
"Amazon Prime Video","both",431000.0,570000,114000,25000.0,114,4.0,4.2,4.18,43667,411683,0.0,0.0,0.0,"12+","Teen","Entertainment","ENTERTAINMENT","Entertainment"
"AMC","both",311000.0,420000,84000,25000.0,84,2.0,3.2,3.04,3105,20843,0.0,0.0,0.0,"12+","Teen","Entertainment","FAMILY","Entertainment"
"Amex Mobile","both",431000.0,570000,114000,25000.0,114,4.0,4.3,4.21,11421,24729,0.0,0.0,0.0,"4+","Everyone","Finance","FINANCE","Finance"
"AnatomyMapp","both",293265.05,540000,108000,138734.95,108,3.5,4.1,3.97,23,80,9.99,14.99,13.87,"4+","Everyone","Medical","MEDICAL","Medical"
"Angry Birds 2","both",455000.0,600000,120000,25000.0,120,4.0,4.6,4.58,109104,3883589,0.0,0.0,0.0,"4+","Everyone","Games","GAME","Casual"
"Angry Birds Blast","both",455000.0,600000,120000,25000.0,120,4.5,4.6,4.59,24878,253115,0.0,0.0,0.0,"4+","Everyone","Games","FAMILY","Puzzle"
"Angry Birds Epic RPG","both",455000.0,600000,120000,25000.0,120,4.5,4.5,4.5,84680,2634605,0.0,0.0,0.0,"4+","Everyone","Games","FAMILY","Role Playing"
