"name","primary_genre","weighted_avg_price","rights_purchase_cost","rating","rating-2","weighted_avg_review","lifespan_months","total_in_app_revenue","total_marketing_expense","total_profit"
"PewDiePie's Tuber Simulator","Games",0.00,25000.00,5.0,4.8,4.81,126,285000,114000,146000.00
"The EO Bar","Health & Fitness",6.99,69900.00,5.0,4.7,4.81,126,285000,114000,101100.00
"Fernanfloo","Games",0.00,25000.00,4.5,4.8,4.80,126,285000,114000,146000.00
"H*nest Meditation","Entertainment",1.99,25000.00,4.5,4.9,4.79,126,285000,114000,146000.00
"Domino's Pizza USA","Food & Drink",0.00,25000.00,5.0,4.7,4.76,126,285000,114000,146000.00
"Egg, Inc.","Games",0.00,25000.00,5.0,4.7,4.74,126,285000,114000,146000.00
"ASOS","Shopping",0.00,25000.00,5.0,4.7,4.72,126,285000,114000,146000.00
"The Guardian","News",0.00,25000.00,5.0,4.7,4.71,126,285000,114000,146000.00
"Cytus","Games",0.03,25000.00,5.0,4.7,4.70,126,285000,114000,146000.00
"Deck Heroes: Legacy","Games",0.00,25000.00,4.0,4.7,4.70,126,285000,114000,146000.00
"Narcos: Cartel Wars","Games",0.00,25000.00,4.5,4.7,4.70,126,285000,114000,146000.00
"Zombie Catchers","Games",0.00,25000.00,4.5,4.7,4.70,126,285000,114000,146000.00
"Toy Blast","Games",0.00,25000.00,4.5,4.7,4.69,126,285000,114000,146000.00
"Riptide GP: Renegade","Games",2.99,29900.00,4.5,4.7,4.68,126,285000,114000,141100.00
"Toca Life: City","Education",3.89,38869.59,4.5,4.7,4.68,126,285000,114000,132130.41
"Toca Life: City","Education",3.89,38870.03,4.5,4.7,4.68,126,285000,114000,132129.97
"Retro City Rampage DX","Games",3.27,32709.92,4.5,4.7,4.67,126,285000,114000,138290.08
"Tsuro - The Game of the Path","Games",2.99,29900.00,4.5,4.7,4.66,126,285000,114000,141100.00
"Five Nights at Freddy's 3","Games",2.99,29900.00,4.5,4.7,4.65,126,285000,114000,141100.00
"Bible","Reference",0.00,25000.00,4.5,4.7,4.64,126,285000,114000,146000.00
"Where's My Water?","Games",1.99,25000.00,4.5,4.7,4.62,120,270000,108000,137000.00
"Alto's Adventure","Games",0.07,25000.00,4.5,4.6,4.60,120,270000,108000,137000.00
"Chase Mobile","Finance",0.00,25000.00,4.5,4.6,4.60,120,270000,108000,137000.00
"Choices: Stories You Play","Games",0.00,25000.00,4.5,4.6,4.60,120,270000,108000,137000.00
"Clash of Clans","Games",0.00,25000.00,4.5,4.6,4.60,120,270000,108000,137000.00
"Clash Royale","Games",0.00,25000.00,4.5,4.6,4.60,120,270000,108000,137000.00
"Earn to Die 2","Games",0.00,25000.00,4.5,4.6,4.60,120,270000,108000,137000.00
