"name","weighted_price_avg"
"Muscle Premium - Human Anatomy, Kinesiology, Bones",21.4534146341463415
"Muscle Premium - Human Anatomy, Kinesiology, Bones",21.4534146341463415
"AnatomyMapp",13.8734951456310680
"AnatomyMapp",13.8734951456310680
"Baldur's Gate: Enhanced Edition",9.9900000000000000
"XCOM®: Enemy Within",9.9900000000000000
"FINAL FANTASY V",8.7037378750281976
"My Movies Pro - Movie & TV Collection Library",7.9900000000000000
"The EO Bar",6.9900000000000000
"Grand Theft Auto: San Andreas",6.9900000000000000
"RollerCoaster Tycoon® Classic",5.9900000000000000
"Battleheart Legacy",4.9900000000000000
"Please, Don't Touch Anything",4.9900000000000000
"Don't Starve: Shipwrecked",4.9900000000000000
"NBA JAM by EA SPORTS™",4.9900000000000000
"LEGO® Friends",4.9900000000000000
"Paprika Recipe Manager",4.9900000000000000
"LEGO Batman: DC Super Heroes",4.9900000000000000
"F-Sim Space Shuttle",4.9900000000000000
"I am Bread",4.9900000000000000
"Don't Starve: Pocket Edition",4.9900000000000000
"Dr. Panda & Toto's Treehouse",3.9900000000000000
"Puffin Browser Pro",3.9900000000000000
"Dr. Panda & Toto's Treehouse",3.9900000000000000
"Dr. Panda & Toto's Treehouse",3.9900000000000000
"Toca Life: City",3.8870032592079836
"Toca Life: City",3.8869586795937211
"Sago Mini Babies",3.7732817337461300
"Sago Mini Babies",3.7732817337461300
"Toca Builders",3.3847805456702254
"Retro City Rampage DX",3.2709917355371901
"My Talking Pet",3.2152995482223532
"Farming Simulator 16",3.1387771164207735
"Riptide GP: Renegade",2.9900000000000000
"Pocket Yoga",2.9900000000000000
"Pocket Yoga",2.9900000000000000
"The Game of Life",2.9900000000000000
"Threema",2.9900000000000000
"DRAGON QUEST",2.9900000000000000
"Five Nights at Freddy's 2",2.9900000000000000
"Dr. Panda Farm",2.9900000000000000
"Dr. Panda Hospital",2.9900000000000000
"Dr. Panda Supermarket",2.9900000000000000
"Bloons TD 5",2.9900000000000000
"Five Nights at Freddy's",2.9900000000000000
"The Game of Life",2.9900000000000000
"Five Nights at Freddy's 3",2.9900000000000000
"Alizay, pirate girl",2.9900000000000000
"Tsuro - The Game of the Path",2.9900000000000000
